threshold,tp,tn,fp,fn,precision,recall,accuracy,overcount,F_4
0.0,2345.0,0.0,57655.0,0.0,0.03908333333333333,1.0,0.03908333333333333,24.586353944562898,0.4087879409351928
0.1,2345.0,0.0,57655.0,0.0,0.03908333333333333,1.0,0.03908333333333333,24.586353944562898,0.4087879409351928
0.2,2345.0,2.0,57653.0,0.0,0.039084636154538485,1.0,0.03911666666666667,24.585501066098082,0.4087963247810661
0.3,2345.0,28.0,57627.0,0.0,0.03910158073767758,1.0,0.03955,24.574413646055437,0.4089053460796783
0.4,2340.0,94.0,57561.0,5.0,0.03906445635298242,0.997867803837953,0.04056666666666667,24.546268656716418,0.4083308526908983
0.5,2330.0,323.0,57332.0,15.0,0.039053333780295664,0.9936034115138592,0.04421666666666667,24.44861407249467,0.40758576691156795
0.6,2312.0,863.0,56792.0,33.0,0.03911748781808338,0.9859275053304905,0.05291666666666667,24.218336886993605,0.40677264447756245
0.7000000000000001,2298.0,1702.0,55953.0,47.0,0.03944996652417984,0.979957356076759,0.06666666666666667,23.86055437100213,0.4079105365924967
0.8,2265.0,2963.0,54692.0,80.0,0.039766841652474676,0.9658848614072495,0.08713333333333333,23.3228144989339,0.4075595118388603
0.9000000000000001,2211.0,4363.0,53292.0,134.0,0.03983568455759148,0.9428571428571428,0.10956666666666667,22.725799573560767,0.4040613611687432
1.0,2184.0,5406.0,52249.0,161.0,0.04012271967372733,0.9313432835820895,0.1265,22.281023454157783,0.403771491957848
1.0999999999999999,2204.0,5291.0,52364.0,141.0,0.0403899721448468,0.9398720682302771,0.12491666666666666,22.33006396588486,0.4068716879506559
1.2,2225.0,5184.0,52471.0,120.0,0.040679391545999706,0.9488272921108742,0.12348333333333333,22.375692963752666,0.4101782770885747
1.3,2205.0,5957.0,51698.0,140.0,0.04090681409198004,0.9402985074626866,0.13603333333333334,22.046055437100215,0.4100171729214749
1.4000000000000001,2205.0,7909.0,49746.0,140.0,0.04244384131200554,0.9402985074626866,0.16856666666666667,21.2136460554371,0.41896256887706634
1.5,2187.0,10834.0,46821.0,158.0,0.044625367286973555,0.9326226012793177,0.21701666666666666,19.96631130063966,0.42967594304733725
1.6,2178.0,15069.0,42586.0,167.0,0.04865516933249933,0.9287846481876333,0.28745,18.16034115138593,0.4499781245442614
1.7000000000000002,2153.0,20231.0,37424.0,192.0,0.05440028299264724,0.9181236673773987,0.37306666666666666,15.959061833688699,0.4747396137333489
1.8000000000000003,2097.0,25650.0,32005.0,248.0,0.06149199460442203,0.8942430703624733,0.46245,13.64818763326226,0.4977381251570747
1.9,2050.0,30951.0,26704.0,295.0,0.0712944286012381,0.8742004264392325,0.5500166666666667,11.387633262260128,0.5258472402450434
2.0,1993.0,36110.0,21545.0,352.0,0.08467159486787322,0.8498933901918977,0.63505,9.187633262260128,0.5548986209833274
2.1,1962.0,40486.0,17169.0,383.0,0.1025560608436569,0.8366737739872068,0.7074666666666667,7.321535181236674,0.5887627755908987
2.1999999999999997,1904.0,43601.0,14054.0,441.0,0.11931319714249906,0.8119402985074626,0.7584166666666666,5.99317697228145,0.6052582370320505
2.3,1864.0,45843.0,11812.0,481.0,0.13629716291313249,0.7948827292110874,0.7951166666666667,5.037100213219616,0.6189546058285803
2.4,1841.0,47830.0,9825.0,504.0,0.1578090176581519,0.7850746268656716,0.82785,4.189765458422174,0.636298946854796
2.5,1814.0,49619.0,8036.0,531.0,0.18416243654822334,0.7735607675906183,0.8572166666666666,3.426865671641791,0.6510027443529659
