threshold,tp,tn,fp,fn,precision,recall,accuracy,overcount,F_4
0.0,2345.0,0.0,57655.0,0.0,0.03908333333333333,1.0,0.03908333333333333,24.586353944562898,0.4087879409351928
0.16,1452.0,31531.0,26124.0,893.0,0.05265448215839861,0.6191897654584222,0.5497166666666666,11.140298507462687,0.37919380607103353
0.32,1404.0,36273.0,21382.0,941.0,0.06161678223470552,0.5987206823027719,0.62795,9.118123667377398,0.3957815142771864
0.48,1353.0,39033.0,18622.0,992.0,0.06773466833541927,0.5769722814498934,0.6731,7.941151385927506,0.4000521784503
0.64,1327.0,41197.0,16458.0,1018.0,0.0746134382906944,0.5658848614072495,0.7087333333333333,7.018336886993604,0.40790163638007415
0.8,1308.0,43371.0,14284.0,1037.0,0.08388917393535146,0.5577825159914712,0.74465,6.0912579957356074,0.4186624491640308
0.96,1283.0,46387.0,11268.0,1062.0,0.10222293044378934,0.5471215351812366,0.7945,4.805117270788912,0.4356014459467556
1.12,1261.0,48998.0,8657.0,1084.0,0.12714256906634402,0.5377398720682303,0.83765,3.691684434968017,0.4518951051899321
1.28,1248.0,50118.0,7537.0,1097.0,0.14206033010813887,0.5321961620469083,0.8561,3.2140724946695096,0.45817946226109496
1.4400000000000002,1227.0,50882.0,6773.0,1118.0,0.153375,0.5232409381663113,0.8684833333333334,2.888272921108742,0.4582381370826011
1.6,1213.0,51395.0,6260.0,1132.0,0.16231767697042687,0.5172707889125799,0.8768,2.6695095948827294,0.45831573800368947
1.7599999999999998,1195.0,51854.0,5801.0,1150.0,0.17081189251000573,0.509594882729211,0.88415,2.473773987206823,0.4563527720370204
1.92,1171.0,52288.0,5367.0,1174.0,0.17910676047721016,0.49936034115138594,0.8909833333333333,2.2886993603411514,0.4518362158972264
2.08,1157.0,52601.0,5054.0,1188.0,0.1862824021896635,0.4933901918976546,0.8959666666666667,2.1552238805970148,0.4497724726166793
2.24,1148.0,52884.0,4771.0,1197.0,0.19395168102720053,0.48955223880597015,0.9005333333333333,2.03454157782516,0.4492736941458136
2.4,1122.0,53107.0,4548.0,1223.0,0.19788359788359788,0.47846481876332625,0.9038166666666667,1.9394456289978679,0.44163000694605237
2.56,1118.0,53259.0,4396.0,1227.0,0.20275661951396445,0.4767590618336887,0.9062833333333333,1.8746268656716418,0.4416507877492215
2.72,1101.0,53397.0,4258.0,1244.0,0.20544877775704423,0.4695095948827292,0.9083,1.8157782515991472,0.4365073812355698
2.8800000000000003,1082.0,53526.0,4129.0,1263.0,0.20763768950297448,0.46140724946695094,0.9101333333333333,1.7607675906183369,0.4304603215464182
3.04,1080.0,53668.0,3987.0,1265.0,0.21314387211367672,0.4605543710021322,0.9124666666666666,1.7002132196162048,0.43111747716439286
3.2,1081.0,53817.0,3838.0,1264.0,0.2197601138442773,0.46098081023454157,0.9149666666666667,1.6366737739872068,0.4330215132307547
3.3600000000000003,1079.0,53915.0,3740.0,1266.0,0.22390537455903714,0.46012793176972283,0.9165666666666666,1.5948827292110874,0.43324121967925555
3.5199999999999996,1063.0,54011.0,3644.0,1282.0,0.22583386445719142,0.4533049040511727,0.9179,1.5539445628997868,0.427948942619651
3.6799999999999997,1050.0,54107.0,3548.0,1295.0,0.22836015658982167,0.44776119402985076,0.9192833333333333,1.5130063965884861,0.42380929768744957
3.84,1037.0,54196.0,3459.0,1308.0,0.23064946619217083,0.4422174840085288,0.92055,1.475053304904051,0.4195782559025133
4.0,1033.0,54275.0,3380.0,1312.0,0.23408112395196012,0.44051172707889125,0.9218,1.44136460554371,0.4187871127751413
4.16,1018.0,54371.0,3284.0,1327.0,0.23663412366341235,0.4341151385927505,0.92315,1.4004264392324093,0.4138013485725216
4.32,1006.0,54427.0,3228.0,1339.0,0.23760037789324515,0.428997867803838,0.9238833333333333,1.376545842217484,0.40958950040714664
4.48,990.0,54501.0,3154.0,1355.0,0.2388996138996139,0.42217484008528783,0.92485,1.3449893390191898,0.4039458525345622
4.640000000000001,979.0,54560.0,3095.0,1366.0,0.24030436917034856,0.41748400852878464,0.92565,1.3198294243070363,0.40012982641727174
4.8,978.0,54630.0,3025.0,1367.0,0.24431676242817887,0.4170575692963753,0.9268,1.2899786780383795,0.40040459504371073
4.96,973.0,54688.0,2967.0,1372.0,0.2469543147208122,0.41492537313432837,0.9276833333333333,1.2652452025586354,0.3989628557645924
5.12,965.0,54753.0,2902.0,1380.0,0.2495474528057926,0.4115138592750533,0.9286333333333333,1.2375266524520256,0.3963805059559765
5.28,962.0,54800.0,2855.0,1383.0,0.2520303903589206,0.4102345415778252,0.9293666666666667,1.2174840085287846,0.3956261944504923
5.44,958.0,54840.0,2815.0,1387.0,0.2539093559501723,0.40852878464818765,0.9299666666666667,1.2004264392324093,0.39440098806093044
5.6000000000000005,952.0,54868.0,2787.0,1393.0,0.254613533030222,0.4059701492537313,0.9303333333333333,1.1884861407249467,0.392253811289658
5.760000000000001,950.0,54930.0,2725.0,1395.0,0.2585034013605442,0.4051172707889126,0.9313333333333333,1.1620469083155651,0.39203786867338264
5.92,946.0,54976.0,2679.0,1399.0,0.2609655172413793,0.40341151385927504,0.9320333333333334,1.1424307036247334,0.39086158707011787
6.08,936.0,55041.0,2614.0,1409.0,0.26366197183098594,0.3991471215351812,0.93295,1.1147121535181237,0.38743608473338204
6.24,925.0,55079.0,2576.0,1420.0,0.26421022564981433,0.39445628997867804,0.9334,1.0985074626865672,0.3833402403646913
6.4,919.0,55104.0,2551.0,1426.0,0.2648414985590778,0.39189765458422177,0.9337166666666666,1.0878464818763327,0.38114174188826544
6.5600000000000005,921.0,55139.0,2516.0,1424.0,0.2679662496363107,0.3927505330490405,0.9343333333333333,1.0729211087420043,0.3822789755109017
6.720000000000001,911.0,55164.0,2491.0,1434.0,0.26778365667254556,0.3884861407249467,0.9345833333333333,1.0622601279317698,0.37845168857827083
6.880000000000001,898.0,55204.0,2451.0,1447.0,0.26813974320692746,0.3829424307036247,0.9350333333333334,1.0452025586353944,0.373534953142969
7.039999999999999,882.0,55255.0,2400.0,1463.0,0.2687385740402194,0.3761194029850746,0.9356166666666667,1.023454157782516,0.36748198617714817
7.199999999999999,869.0,55286.0,2369.0,1476.0,0.2683755404570723,0.37057569296375265,0.9359166666666666,1.010234541577825,0.3624564502674322
7.359999999999999,870.0,55325.0,2330.0,1475.0,0.271875,0.37100213219616207,0.9365833333333333,0.9936034115138592,0.3632121807465619
7.52,857.0,55380.0,2275.0,1488.0,0.2736270753512133,0.3654584221748401,0.9372833333333334,0.9701492537313433,0.35838335137262617
7.68,857.0,55395.0,2260.0,1488.0,0.2749438562720565,0.3654584221748401,0.9375333333333333,0.9637526652452025,0.3585156384575633
7.84,849.0,55432.0,2223.0,1496.0,0.2763671875,0.362046908315565,0.9380166666666667,0.9479744136460554,0.35556267244777295
8.0,851.0,55460.0,2195.0,1494.0,0.2793827971109652,0.3628997867803838,0.9385166666666667,0.9360341151385928,0.3566287038406548
8.16,844.0,55478.0,2177.0,1501.0,0.2793776895067858,0.3599147121535181,0.9387,0.9283582089552239,0.3539133223156804
8.32,840.0,55503.0,2152.0,1505.0,0.2807486631016043,0.3582089552238806,0.93905,0.9176972281449893,0.3524881516587677
8.48,839.0,55536.0,2119.0,1506.0,0.2836375929682218,0.3577825159914712,0.9395833333333333,0.9036247334754798,0.35236424724541726
8.64,839.0,55576.0,2079.0,1506.0,0.28752570253598353,0.3577825159914712,0.94025,0.8865671641791045,0.35271279489589
8.8,831.0,55596.0,2059.0,1514.0,0.28754325259515573,0.3543710021321962,0.94045,0.8780383795309168,0.34959168522642914
8.96,828.0,55615.0,2040.0,1517.0,0.28870292887029286,0.353091684434968,0.9407166666666666,0.8699360341151386,0.34851936218678814
9.120000000000001,824.0,55641.0,2014.0,1521.0,0.29034531360112753,0.3513859275053305,0.9410833333333334,0.8588486140724947,0.3470935130581297
9.280000000000001,822.0,55672.0,1983.0,1523.0,0.293048128342246,0.35053304904051175,0.9415666666666667,0.8456289978678039,0.34653440793552387
9.440000000000001,819.0,55689.0,1966.0,1526.0,0.2940754039497307,0.3492537313432836,0.9418,0.8383795309168444,0.34544101228135465
9.6,815.0,55715.0,1940.0,1530.0,0.2958257713248639,0.34754797441364604,0.9421666666666667,0.8272921108742004,0.3440099317194289
9.76,816.0,55726.0,1929.0,1529.0,0.2972677595628415,0.3479744136460554,0.9423666666666667,0.8226012793176972,0.3445175710915186
9.92,814.0,55758.0,1897.0,1531.0,0.300258207303578,0.3471215351812367,0.9428666666666666,0.808955223880597,0.34396361015137583
10.08,799.0,55769.0,1886.0,1546.0,0.2975791433891993,0.34072494669509595,0.9428,0.8042643923240939,0.3378435517970401
10.24,801.0,55784.0,1871.0,1544.0,0.29977544910179643,0.3415778251599147,0.9430833333333334,0.7978678038379531,0.3387987659235669
10.4,800.0,55807.0,1848.0,1545.0,0.3021148036253776,0.3411513859275053,0.94345,0.7880597014925373,0.33857797251543514
10.56,797.0,55818.0,1837.0,1548.0,0.30258162490508733,0.33987206823027716,0.9435833333333333,0.7833688699360342,0.33742591024555457
10.72,793.0,55820.0,1835.0,1552.0,0.3017503805175038,0.3381663113006397,0.94355,0.7825159914712153,0.3357826043638537
10.88,787.0,55853.0,1802.0,1558.0,0.3039783700270375,0.33560767590618334,0.944,0.7684434968017058,0.3335660325612705
11.040000000000001,775.0,55866.0,1789.0,1570.0,0.30226209048361935,0.3304904051172708,0.9440166666666666,0.7628997867803838,0.32868476199980046
11.200000000000001,774.0,55871.0,1784.0,1571.0,0.30258014073494915,0.3300639658848614,0.9440833333333334,0.7607675906183369,0.32830979589799886
11.360000000000001,770.0,55893.0,1762.0,1575.0,0.3041074249605055,0.3283582089552239,0.9443833333333334,0.7513859275053305,0.32682512733446517
11.520000000000001,763.0,55910.0,1745.0,1582.0,0.30422647527910684,0.3253731343283582,0.94455,0.744136460554371,0.32404816628360145
11.68,763.0,55915.0,1740.0,1582.0,0.3048341989612465,0.3253731343283582,0.9446333333333333,0.7420042643923241,0.32408864902680956
11.84,762.0,55939.0,1716.0,1583.0,0.3075060532687651,0.3249466950959488,0.9450166666666666,0.7317697228144989,0.3238661933096655
12.0,761.0,55958.0,1697.0,1584.0,0.3096013018714402,0.32452025586353944,0.9453166666666667,0.7236673773987207,0.3236029816399019
12.16,736.0,55985.0,1670.0,1609.0,0.3059019118869493,0.3138592750533049,0.94535,0.7121535181236673,0.3133797525422031
12.32,733.0,56009.0,1646.0,1612.0,0.30811265237494745,0.31257995735607674,0.9457,0.7019189765458422,0.3123135918193438
12.48,730.0,56032.0,1623.0,1615.0,0.31024224394390143,0.31130063965884863,0.9460333333333333,0.6921108742004264,0.31123818122539065
12.64,723.0,56043.0,1612.0,1622.0,0.30963597430406853,0.30831556503198293,0.9461,0.6874200426439232,0.3083929243507715
12.8,722.0,56057.0,1598.0,1623.0,0.3112068965517241,0.30788912579957356,0.9463166666666667,0.6814498933901919,0.3080823293172691
12.96,718.0,56079.0,1576.0,1627.0,0.3129904097646033,0.306183368869936,0.9466166666666667,0.6720682302771855,0.30657557643040134
13.120000000000001,711.0,56097.0,1558.0,1634.0,0.3133539003966505,0.3031982942430704,0.9468,0.6643923240938167,0.30377742592173723
13.280000000000001,709.0,56105.0,1550.0,1636.0,0.3138556883576804,0.3023454157782516,0.9469,0.6609808102345416,0.3029990698609819
13.440000000000001,707.0,56108.0,1547.0,1638.0,0.3136645962732919,0.30149253731343284,0.9469166666666666,0.6597014925373135,0.3021823301654347
13.600000000000001,702.0,56126.0,1529.0,1643.0,0.31465710443747197,0.29936034115138593,0.9471333333333334,0.6520255863539446,0.30021886241855544
13.760000000000002,698.0,56135.0,1520.0,1647.0,0.3146979260595131,0.2976545842217484,0.9472166666666667,0.6481876332622601,0.29860586843827064
13.920000000000002,693.0,56145.0,1510.0,1652.0,0.31457103949160237,0.2955223880597015,0.9473,0.6439232409381663,0.2965788082471112
14.079999999999998,694.0,56161.0,1494.0,1651.0,0.3171846435100548,0.29594882729211086,0.9475833333333333,0.6371002132196162,0.29711896846982977
14.239999999999998,691.0,56178.0,1477.0,1654.0,0.3187269372693727,0.29466950959488275,0.9478166666666666,0.6298507462686567,0.2959836726466438
14.399999999999999,690.0,56192.0,1463.0,1655.0,0.3204830469112866,0.2942430703624733,0.9480333333333333,0.6238805970149254,0.2956670783656391
14.559999999999999,689.0,56204.0,1451.0,1656.0,0.3219626168224299,0.29381663113006395,0.9482166666666667,0.6187633262260128,0.29533535047907206
14.719999999999999,687.0,56211.0,1444.0,1658.0,0.32238385734396996,0.2929637526652452,0.9483,0.6157782515991471,0.29454490428992963
14.879999999999999,688.0,56227.0,1428.0,1657.0,0.32514177693761814,0.2933901918976546,0.9485833333333333,0.608955223880597,0.29508527601170653
15.04,687.0,56249.0,1406.0,1658.0,0.32823698041089344,0.2929637526652452,0.9489333333333333,0.5995735607675906,0.29482745563325174
15.2,686.0,56259.0,1396.0,1659.0,0.32949087415946204,0.29253731343283584,0.9490833333333333,0.5953091684434968,0.29448007676379984
15.36,686.0,56264.0,1391.0,1659.0,0.3302840635532017,0.29253731343283584,0.9491666666666667,0.5931769722814499,0.2945172614086926
15.52,687.0,56270.0,1385.0,1658.0,0.33156370656370654,0.2929637526652452,0.9492833333333334,0.5906183368869936,0.2949838351182057
15.68,688.0,56280.0,1375.0,1657.0,0.33349491032476974,0.2933901918976546,0.9494666666666667,0.5863539445628998,0.2954803829926989
15.84,687.0,56281.0,1374.0,1658.0,0.3333333333333333,0.2929637526652452,0.9494666666666667,0.5859275053304904,0.29506581440590185
